iter	Passed	Remaining
0	145	145506
1	147	73656
2	149	49735
3	151	37752
4	153	30517
5	154	25616
6	155	22107
7	157	19469
8	158	17438
9	159	15801
10	160	14463
11	162	13350
12	163	12390
13	164	11571
14	165	10859
15	166	10242
16	167	9697
17	168	9208
18	169	8771
19	171	8380
20	172	8033
21	173	7716
22	174	7419
23	175	7147
24	176	6897
25	178	6672
26	179	6462
27	180	6263
28	181	6078
29	182	5906
30	183	5749
31	185	5600
32	186	5464
33	187	5332
34	188	5206
35	189	5087
36	191	4971
37	192	4862
38	193	4758
39	194	4662
40	195	4571
41	196	4483
42	197	4398
43	198	4318
44	199	4244
45	201	4172
46	202	4102
47	203	4037
48	204	3971
49	205	3908
50	206	3848
51	207	3790
52	208	3733
53	210	3679
54	211	3627
55	212	3580
56	213	3533
57	214	3487
58	216	3445
59	217	3403
60	218	3363
61	219	3325
62	220	3285
63	222	3246
64	223	3209
65	224	3171
66	225	3136
67	225	3093
68	226	3060
69	227	3028
70	228	2995
71	230	2966
72	231	2936
73	232	2908
74	233	2881
75	234	2854
76	236	2830
77	237	2804
78	238	2778
79	239	2754
80	240	2729
81	241	2704
82	242	2684
83	244	2662
84	244	2635
85	246	2615
86	246	2590
87	248	2571
88	249	2552
89	250	2531
90	251	2512
91	252	2492
92	253	2473
93	254	2455
94	255	2436
95	256	2418
96	257	2401
97	259	2385
98	260	2369
99	261	2354
100	262	2339
101	263	2320
102	264	2304
103	265	2289
104	266	2274
105	267	2259
106	269	2245
107	270	2230
108	271	2216
109	272	2204
110	273	2191
111	274	2178
112	275	2166
113	277	2154
114	278	2143
115	279	2130
116	280	2117
117	281	2105
118	282	2091
119	283	2080
120	284	2069
121	285	2057
122	286	2042
123	287	2031
124	288	2021
125	290	2011
126	291	2002
127	291	1989
128	293	1980
129	294	1972
130	295	1962
131	296	1951
132	297	1941
133	299	1932
134	300	1923
135	301	1913
136	302	1905
137	303	1896
138	304	1888
139	305	1879
140	307	1871
141	308	1863
142	309	1855
143	310	1846
144	311	1838
145	312	1829
146	313	1821
147	314	1812
148	315	1804
149	317	1796
150	318	1789
151	319	1782
152	320	1775
153	321	1768
154	323	1761
155	324	1753
156	325	1746
157	326	1740
158	327	1732
159	328	1726
160	330	1719
161	331	1713
162	332	1706
163	333	1700
164	334	1694
165	335	1687
166	337	1681
167	338	1674
168	339	1668
169	340	1662
170	341	1655
171	342	1649
172	343	1643
173	345	1638
174	346	1631
175	347	1625
176	348	1620
177	349	1614
178	350	1609
179	352	1603
180	352	1596
181	353	1590
182	355	1585
183	356	1579
184	357	1573
185	358	1568
186	359	1562
187	360	1557
188	361	1552
189	363	1547
190	364	1542
191	365	1537
192	366	1532
193	367	1527
194	369	1523
195	370	1518
196	371	1513
197	372	1508
198	373	1502
199	374	1497
200	375	1492
201	376	1488
202	378	1484
203	379	1479
204	380	1474
205	381	1470
206	382	1466
207	384	1462
208	385	1457
209	386	1453
210	387	1448
211	388	1443
212	389	1438
213	390	1434
214	391	1430
215	392	1426
216	394	1422
217	395	1417
218	396	1413
219	397	1409
220	398	1405
221	399	1401
222	401	1397
223	402	1393
224	403	1388
225	404	1384
226	405	1379
227	406	1375
228	407	1371
229	408	1367
230	409	1363
231	410	1359
232	411	1356
233	413	1352
234	414	1348
