iter	Passed	Remaining
0	144	144124
1	145	72373
2	145	48503
3	146	36528
4	147	29329
5	148	24535
6	148	21104
7	149	18533
8	150	16534
9	150	14931
10	151	13621
11	152	12534
12	153	11618
13	153	10830
14	154	10154
15	155	9572
16	156	9046
17	157	8577
18	158	8163
19	158	7787
20	159	7447
21	160	7146
22	161	6864
23	162	6606
24	163	6367
25	164	6144
26	164	5936
27	165	5745
28	166	5572
29	167	5410
30	168	5260
31	169	5123
32	170	4988
33	171	4858
34	171	4735
35	172	4618
36	173	4505
37	173	4403
38	174	4305
39	175	4212
40	176	4122
41	176	4037
42	177	3955
43	178	3875
44	179	3803
45	179	3732
46	180	3667
47	181	3602
48	182	3540
49	183	3485
50	184	3429
51	185	3378
52	186	3326
53	186	3274
54	187	3223
55	188	3175
56	189	3128
57	189	3082
58	190	3040
59	191	2998
60	192	2957
61	192	2916
62	193	2877
63	194	2840
64	195	2805
65	195	2770
66	196	2736
67	197	2703
68	198	2671
69	198	2641
70	199	2610
71	200	2582
72	201	2553
73	201	2525
74	202	2498
75	203	2471
76	203	2444
77	204	2419
78	205	2394
79	206	2370
80	206	2347
81	207	2323
82	207	2297
83	208	2277
84	209	2256
85	210	2234
86	211	2214
87	211	2194
88	212	2176
89	213	2158
90	214	2139
91	214	2121
92	215	2103
93	216	2085
94	217	2068
95	217	2051
96	218	2035
97	219	2019
98	220	2002
99	220	1987
100	221	1971
101	222	1957
102	223	1942
103	223	1928
104	224	1916
105	225	1903
106	226	1889
107	227	1876
108	228	1864
109	229	1853
110	229	1840
111	230	1828
112	231	1815
113	232	1803
114	232	1791
115	233	1780
116	234	1768
117	235	1756
118	235	1745
119	236	1734
120	237	1723
121	237	1712
122	238	1701
123	239	1691
124	240	1680
125	240	1669
126	241	1659
127	242	1650
128	243	1641
129	244	1633
130	244	1624
131	245	1616
132	246	1607
133	247	1598
134	248	1589
135	249	1581
136	249	1574
137	250	1566
138	251	1557
139	252	1549
140	252	1540
141	253	1530
142	254	1522
143	254	1514
144	255	1507
145	256	1499
146	257	1491
147	257	1485
148	258	1478
149	259	1471
150	260	1463
151	261	1456
152	261	1449
153	262	1442
154	263	1435
155	264	1429
156	265	1423
157	265	1417
158	266	1410
159	267	1404
160	267	1396
161	268	1389
162	269	1382
163	270	1376
164	270	1370
165	271	1364
166	272	1358
167	273	1353
168	274	1348
169	274	1342
170	275	1336
171	276	1330
172	277	1325
173	278	1320
174	278	1315
175	279	1309
176	280	1304
177	281	1299
178	282	1294
179	282	1288
180	283	1283
181	284	1278
182	285	1273
183	285	1267
184	286	1263
185	287	1258
186	288	1254
187	289	1249
188	290	1244
189	290	1239
190	291	1235
191	292	1230
192	293	1225
193	293	1221
194	294	1216
195	295	1212
196	296	1208
197	297	1204
198	298	1199
199	298	1194
200	299	1190
201	300	1186
202	301	1181
203	301	1177
204	302	1173
205	303	1169
206	304	1165
207	304	1160
208	305	1156
209	306	1152
210	307	1148
211	307	1144
212	308	1140
213	309	1135
214	310	1132
215	310	1128
216	311	1124
217	312	1120
218	312	1115
219	313	1112
220	314	1108
221	315	1104
222	315	1100
223	316	1096
224	317	1092
225	318	1089
226	318	1086
227	319	1082
228	320	1079
229	321	1075
230	321	1071
231	322	1068
232	323	1065
233	324	1061
234	325	1058
235	325	1055
236	326	1051
237	327	1047
238	328	1044
239	328	1041
240	329	1037
241	330	1034
242	330	1030
243	331	1027
244	332	1025
245	333	1023
246	334	1020
247	335	1017
248	336	1014
249	337	1011
250	338	1008
251	338	1005
252	339	1002
253	340	999
254	341	996
255	341	993
256	342	990
257	343	987
258	344	984
259	344	981
260	345	978
261	346	975
262	347	973
263	348	971
264	349	968
265	350	965
266	350	963
267	351	960
268	352	957
269	353	954
270	353	952
271	354	949
272	355	946
273	356	943
274	356	941
275	357	938
276	358	935
277	359	932
278	359	930
279	360	927
280	361	924
281	362	922
282	363	920
283	364	917
284	364	915
285	365	912
286	366	909
287	367	907
288	368	905
289	368	903
290	369	900
291	370	898
292	371	895
293	372	893
294	372	890
295	373	888
296	374	885
297	374	883
298	375	880
299	376	878
300	377	876
301	379	876
302	379	873
303	380	871
304	381	869
305	382	867
306	383	865
307	384	863
308	385	861
309	386	859
310	386	857
311	387	854
312	388	852
313	389	850
314	390	848
315	391	846
316	391	844
317	392	842
318	393	840
319	394	838
320	395	836
321	396	834
322	397	832
323	398	831
324	399	829
325	400	827
326	400	825
327	401	823
328	402	821
329	403	819
330	404	817
331	405	815
332	405	813
333	406	811
334	408	809
335	408	808
336	409	806
337	410	803
338	411	801
339	411	799
340	413	798
341	413	796
342	414	794
343	415	792
344	416	790
345	417	788
346	418	786
347	418	784
348	419	782
349	420	781
350	421	779
351	422	777
352	423	775
353	424	774
354	425	772
355	425	770
356	426	768
357	427	766
358	428	765
359	429	763
360	430	761
361	430	759
362	431	757
363	432	755
364	433	753
365	434	752
366	435	750
367	435	748
368	436	746
369	437	745
370	438	743
371	439	742
372	440	740
373	441	739
374	442	737
375	443	735
376	444	733
377	444	732
378	445	730
379	446	728
380	447	726
381	448	725
382	449	723
383	450	721
384	450	720
385	451	718
386	452	717
387	453	716
388	454	714
389	455	712
390	456	711
391	457	709
392	458	707
393	459	706
394	460	705
395	461	703
396	462	701
397	462	700
398	463	698
399	464	696
400	465	695
401	466	693
402	467	691
403	467	690
404	468	688
405	469	687
406	470	685
407	471	683
408	471	681
409	472	680
410	473	679
411	474	677
412	475	675
413	476	674
414	477	672
415	477	670
416	478	669
417	479	667
418	480	666
419	481	664
420	481	662
421	482	661
422	483	659
423	484	658
424	485	656
425	485	654
426	486	653
427	487	651
428	488	649
429	488	648
430	489	646
431	490	645
432	491	643
433	492	641
434	492	640
435	493	638
436	494	637
437	495	635
438	496	633
439	496	632
440	497	631
441	498	629
442	499	628
443	500	626
444	501	625
445	502	623
446	503	622
447	503	620
448	504	619
449	505	617
450	506	616
451	506	614
452	507	613
453	508	611
454	509	610
455	510	608
456	510	607
457	511	605
458	512	604
459	513	603
460	514	601
461	515	600
462	516	599
463	517	597
464	518	596
465	519	595
466	520	594
467	521	592
468	522	591
469	523	590
470	524	588
471	524	587
472	525	585
473	526	584
474	527	582
475	528	581
476	529	580
477	530	579
478	531	577
479	531	576
480	532	574
481	533	573
482	534	572
483	535	570
484	536	569
485	537	568
486	537	566
487	538	565
488	539	563
489	540	562
490	541	561
491	542	559
492	543	558
493	544	557
494	545	556
495	545	554
496	546	553
497	547	551
498	548	550
499	548	548
500	549	547
501	550	545
502	551	544
503	551	542
504	552	541
505	553	540
506	553	538
507	554	537
508	555	535
509	556	534
510	557	533
511	558	531
512	559	530
513	560	529
514	560	528
515	561	527
516	562	525
517	563	524
518	564	522
519	564	521
520	565	520
521	566	518
522	567	517
523	567	515
524	568	514
525	569	512
526	570	511
527	570	510
528	571	509
529	572	507
530	573	506
531	574	505
532	575	504
533	576	503
534	577	501
535	578	500
536	578	499
537	579	497
538	580	496
539	581	494
540	581	493
541	582	492
542	583	490
543	584	489
544	584	488
545	585	486
546	586	485
547	587	484
548	588	483
549	589	481
550	590	480
551	590	479
552	591	478
553	592	477
554	593	475
555	594	474
556	595	473
557	595	471
558	596	470
559	597	469
560	597	467
561	598	466
562	599	465
563	600	464
564	600	462
565	601	461
566	602	460
567	603	458
568	604	457
569	605	456
570	606	455
571	606	454
572	607	452
573	608	451
574	609	450
575	609	448
576	610	447
577	611	446
578	611	444
579	612	443
580	613	442
581	614	441
582	614	439
583	615	438
584	616	437
585	616	435
586	617	434
587	618	433
588	620	432
589	620	431
590	621	430
591	622	429
592	623	427
593	624	426
594	624	425
595	625	424
596	626	422
597	627	421
598	628	420
599	628	419
600	629	418
601	630	417
602	631	415
603	632	414
604	633	413
605	634	412
606	635	411
607	636	410
608	637	409
609	637	407
610	638	406
611	639	405
612	640	404
613	641	402
614	641	401
615	642	400
616	643	399
617	643	397
618	644	396
619	645	395
620	646	394
621	646	393
622	647	391
623	648	390
624	649	389
625	650	388
626	651	387
627	651	386
628	652	385
629	653	383
630	654	382
631	655	381
632	656	380
633	656	379
634	657	377
635	658	376
636	658	375
637	659	374
638	660	373
639	660	371
640	661	370
641	662	369
642	663	368
643	664	367
644	665	366
645	665	364
646	666	363
647	667	362
648	667	361
649	668	360
650	669	358
651	670	357
652	670	356
653	671	355
654	672	354
655	673	353
656	673	351
657	674	350
658	675	349
659	676	348
660	676	347
661	677	345
662	678	344
663	679	343
664	679	342
665	680	341
666	681	340
667	682	338
668	682	337
669	683	336
670	684	335
671	685	334
672	685	333
673	686	332
674	687	331
675	688	329
676	689	328
677	689	327
678	690	326
679	691	325
680	692	324
681	693	323
682	694	322
683	695	321
684	695	320
685	696	318
686	697	317
687	698	316
688	698	315
689	699	314
